Cod;titulo;autor;editora;valor;publicacao;edicao;idioma
936;Perguntas e respostas sobre confinamento de bovinos de corte ;64;7;98.66;03/02/2012;2;portugues
937;Estrutura da inflaçào brasileira;74;7;173.54;18/10/2005;3;portugues
938;Manejo florestal comunitário na Amazônia brasileira;9;7;150.46;03/03/2017;3;portugues
939;Microwave imaging techniques ;46;7;183.15;01/07/2001;3;portugues
940;The nature of historical knowledge ;61;7;288.58;13/09/2012;5;portugues
941;Terapias atuais em cirurgia bucomaxilofacial ;60;7;68.5;17/11/2013;5;portugues
942;Psicologia e saúde;59;7;121.37;29/01/2004;1;portugues
943;Didática mânima ;46;7;270.45;18/08/2004;1;portugues
944;Como anda Belo Horizonte ;50;7;410.83;03/10/2000;2;portugues
945;Sobre falar merda ;8;7;158.21;10/05/2014;2;portugues
946;Iniciaçào a ciência ;49;7;227.84;19/04/2014;5;portugues
947;Estudos de politecnia e saúde ;53;7;459.03;26/03/2013;5;portugues
948;O temor do sábio:;20;7;420.02;18/10/2013;5;portugues
949;A crise da Uniào Europeia;55;7;491.29;29/09/2008;5;portugues
950;Wetlands;39;7;68.29;14/01/2017;1;portugues
951;A idade pré-escolar ;11;7;238.26;13/06/2002;5;portugues
952;Manual de direito comercial;10;7;416.01;08/12/2006;4;portugues
953;Borges rememorado ;59;7;390.11;27/07/2011;4;portugues
954;Thesaurus doctrinae catholicae;14;7;462.19;25/05/2001;5;portugues
955;Historia general de la música;65;7;296.59;24/02/2014;3;portugues
956;A first course in fuzzy logic ;67;7;455.73;18/04/2005;5;portugues
957;Entre o tibre e o Capibaribe;41;7;467.06;12/04/2002;4;portugues
958;Direito constitucional  ;53;7;284.83;26/02/2007;3;portugues
959;LWiSSy;25;7;178.57;05/01/2005;4;portugues
960;Mass transfer fundamentals and applications ;66;7;292.4;23/07/2015;1;portugues
961;0 aspecto polifônico d'Os Lusâadas;29;7;195.47;26/12/2004;3;portugues
962;De volta para o futuro primitivo ;32;7;285.75;24/09/2009;4;portugues
963;Redaçào publicitária;24;7;178.16;04/07/2004;4;portugues
964;Estudo da utilizaçào de um sistema fotossensâvel no controle da temperatura e da umidade relativa do ar ;36;7;75.73;17/04/2013;1;portugues
965;Elements of vibration analysis ;20;7;127.45;29/09/2010;3;portugues
966;Irrigaçào por sulcos ;54;7;211.72;11/04/2002;1;portugues
967;Diálogo sobre a natureza humana ;7;7;18.42;09/10/2001;2;portugues
968;Correlaçào entre a infecçào genital pelo vârus do papiloma humano, a resposta imune e os achados colpocitolígicos em mulheres grávidas e nào grávidas;20;7;66.38;31/07/2002;5;portugues
969;Passivos ambientais;70;7;515.97;07/01/2016;4;portugues
970;A guerra dos gibis;29;7;330.16;15/07/2018;1;portugues
971;Eu perdoo;63;7;348.36;25/01/2003;1;portugues
972;Linguagens e práticas escolares;17;7;361.04;21/08/2003;5;portugues
973;Automotive electronics handbook ;15;7;122.45;02/11/2007;1;portugues
974;Contextualized practices in EFL teaching and assessment ;18;7;300.62;09/02/2015;2;portugues
975;Legislaçào de direito internacional do trabalho e da proteçào dos direitos humanos ;50;7;293.41;03/01/2003;3;portugues
976;La filosofia del codigo de Napoleon aplicada al derecho de familia ;66;7;514.89;27/01/2013;3;portugues
977;Guia para a ediçào jornalâstica ;62;7;255.73;26/03/2000;3;portugues
978;Histíria dos judeus em Portugal ;14;7;335.78;05/12/2005;3;portugues
979;Inclusào escolar de crianças com Sândrome de Down ;21;7;518.21;16/11/2015;4;portugues
980;Advanced engine technology ;37;7;38.27;23/10/2001;2;portugues
981;La difference ontologique ;48;7;213.88;09/05/2016;3;portugues
982;A gata borralheira;55;7;196.8;11/07/2005;2;portugues
983;Lengua castellana & literatura bachillerato 1 ;57;7;354.73;20/04/2016;4;portugues
984;O pensamento de Teilhard de Chardin ;54;7;375.54;25/02/2010;1;portugues
985;Bibliografia brasileira de nematíides ;18;7;427.21;04/04/2011;3;portugues
986;O alvissareiro ;35;7;379.04;23/01/2014;1;portugues
987;Teoria contemporânea do cinema ;46;7;429.3;14/01/2013;1;portugues
988;Processos de construçào do sentido na esquizofrenia;26;7;290.09;06/05/2004;1;portugues
989;English of course 3;32;7;373.59;15/01/2013;2;portugues
990;O conceito de responsabilidade de proteger e o direito internacional humanitário ;71;7;323.39;05/10/2013;3;portugues
991;A transiçào no Brasil;43;7;215.92;25/09/2011;4;portugues
992;Algumas considerações sobre o professor Vingt-un Rosado ;2;7;117.48;10/09/2017;4;portugues
993;Serões de Dona Benta ;72;7;489.25;04/06/2003;2;portugues
994;Pré-histíria da ESAM ;55;7;2.68;19/09/2003;5;portugues
995;Ventre poético;35;7;214.88;31/01/2006;1;portugues
996;A questào das drogas nas relações internacionais:;44;7;306.14;11/07/2015;1;portugues
997;The handbook of machine soldering;2;7;408.44;13/06/2002;5;portugues
998;Origins of analytical philosophy ;16;7;79.3;13/02/2016;2;portugues
999;Polâtica cultural no RN;67;7;344.95;29/07/2006;2;portugues
1000;Stating behavioral objectives for classroom instruction ;20;7;310.05;03/03/2015;1;portugues
1001;Computer numerical control accessory devices. ;24;7;35.48;03/10/2011;4;portugues
1002;Microeconomia ;16;7;30.86;24/04/2006;1;portugues
1003;Criança 44 ;48;7;445.1;12/04/2012;1;portugues
1004;Curso de filosofia polâtica:;57;7;177.91;02/12/2010;1;portugues
1005;Los problemas de la filosofia ;5;7;58.95;13/07/2011;3;portugues
1006;Raptado ;59;7;98.87;04/12/2007;2;portugues
1007;Nutriçào mineral de plantas;61;7;73.81;20/09/2013;5;portugues
1008;Rosassari ;62;7;181.38;14/10/2013;2;portugues
1009;Statistical analysis of spherical data ;48;8;182.2;19/03/2003;1;portugues
1010;Dois corações e quatro segredos;64;8;53.44;17/02/2001;2;portugues
1011;Spinoza e as Américas ;74;8;458.79;05/06/2010;3;portugues
1012;Linguagem, discurso e cultura;39;8;451.43;22/08/2003;2;portugues
1013;Algebra linear;44;8;383.67;01/02/2001;3;portugues
1014;Ilusões constitucionalistas.;37;8;55.45;07/02/2018;5;portugues
1015;O Evangelho segundo o Filho ;21;8;398.36;05/01/2000;4;portugues
1016;Estudios sobre el amor ;24;8;319.01;16/08/2016;4;portugues
1017;O Rio Sào Francisco;29;8;340.37;06/03/2016;4;portugues
1018;James Joyce;21;8;83.02;28/05/2000;2;portugues
1019;Gerenciando em ambiente de mudança uma ferramenta gerencial para neutralizar ameaças ;73;8;386.8;11/09/2003;4;portugues
1020;Quem engana quem?;29;8;350.61;18/11/2014;1;portugues
1021;Michel Foucault e a constituiçào do sujeito ;36;8;179.29;21/07/2013;2;portugues
1022;A manjuba (Anchoviela lepidentostole) no Rio Ribeira de Iguape;72;8;399.93;11/01/2001;2;portugues
1023;A ponte ;8;8;170.43;03/02/2012;4;portugues
1024;Maurice Blondel;69;8;112.39;15/11/2012;5;portugues
1025;As filosofias de um guarda noturno ;52;8;352.96;29/09/2012;3;portugues
1026;Eventos de oralidade em aulas de lângua portuguesa;66;8;375.51;13/09/2000;4;portugues
1027;Ator-dança e sua dança fluida;14;8;42.02;26/07/2002;1;portugues
1028;Charles Peguy, o bom pecador ;49;8;86.51;29/09/2002;4;portugues
1029;The governance of corporate groups ;13;8;319.99;07/12/2007;1;portugues
1030;The Life of Fishes ;31;8;507.37;28/06/2006;2;portugues
1031;O homem de gênio e a melancolia;50;8;194.53;11/06/2002;1;portugues
1032;Mandado de segurança ;30;8;196.06;09/06/2005;3;portugues
1033;Mais do que um jogo;66;8;109.94;23/01/2011;3;portugues
1034;Corpo humano;64;8;29.15;14/09/2005;2;portugues
1035;Lei dos planos e seguros de saúde;30;8;55.51;06/06/2012;2;portugues
1036;Histírias e memírias da educaçào no Brasil;63;8;70.17;17/07/2016;2;portugues
1037;As idades do homem ;50;8;368.12;09/06/2008;4;portugues
1038;A Iara ;33;8;173.44;09/01/2012;4;portugues
1039;Diseases of Fish ;68;8;88.2;12/10/2016;1;portugues
1040;Gabriel Marcel et la methodologie de l'inverifiable ;65;8;115.63;12/03/2009;5;portugues
1041;Elementos de genética;64;8;339.98;29/06/2005;3;portugues
1042;Por uma lexicografia bilângue contrastiva ;49;8;331.75;17/10/2014;1;portugues
1043;O man e o brother;10;8;98.53;17/04/2008;2;portugues
1044;Narcotráfico;30;8;176.08;11/03/2009;3;portugues
1045;Historia de um homem ;9;8;513.84;18/05/2007;1;portugues
1046;O romance, v.1:;34;8;56.92;03/05/2015;4;portugues
1047;Bem-vindo à  bolsa de valores;33;8;219.85;29/12/2003;4;portugues
1048;Rui Barbosa ;65;8;215.04;14/01/2010;1;portugues
1049;Memíria e sociedade;1;8;418.63;19/10/2018;3;portugues
1050;Poemas;73;8;55.09;26/08/2007;4;portugues
1051;àgua;30;8;39.09;24/03/2015;4;portugues
1052;Uma sí escola para todos;7;8;122.86;28/04/2001;5;portugues
1053;Lei de diretrizes e bases da educaçào;57;8;49.56;17/04/2015;4;portugues
1054;Product design and development ;53;8;301.98;08/01/2004;1;portugues
1055;L'affrontement chretien ;35;8;436.0;30/07/2003;3;portugues
1056;Seguir regras;8;8;7.48;30/06/2004;4;portugues
1057;Metamorphic petrology;32;8;467.6;28/05/2014;3;portugues
1058;Handbook of thermodynamic tables ;49;8;445.82;06/08/2012;1;portugues
1059;A bibliography of mustelids;28;8;341.31;16/10/2015;5;portugues
1060;Biossegurança de A a Z ;52;8;514.5;18/08/2002;2;portugues
1061;O sol do Brasil;69;8;392.7;13/01/2000;4;portugues
1062;Polâtica social, famâlia e juventude;34;8;119.6;28/01/2004;2;portugues
1063;Curso didático de enfermagem ;50;8;389.79;06/10/2004;3;portugues
1064;Sono e sândrome da fragilidade em idosos residentes em instituições de longa permanência;5;8;488.84;27/12/2008;4;portugues
1065;Advances in lubricant additives and tribology ;24;8;120.3;26/07/2014;3;portugues
1066;Lian Gong em 18 terapias;38;8;110.92;04/05/2008;1;portugues
1067;De Bergson a Thomas D'Aquin essais de metaphysique et de morale ;73;8;274.48;01/09/2005;5;portugues
1068;Manual de hematologia;26;8;46.33;02/05/2011;4;portugues
1069;Cidade Satélite ;29;8;404.11;27/10/2004;2;portugues
1070;Mulheres sem dono ;44;8;435.56;07/06/2010;4;portugues
1071;Armando ;14;8;409.92;21/01/2011;4;portugues
1072;Notas sobre aves brasileiras raras ou ameaçadas de extinçào ;15;8;483.42;02/09/2017;3;portugues
1073;Avaliaçào de diferentes processos oxidativos avançados no tratamento de resâduos de petríleo;31;8;264.08;19/02/2013;5;portugues
1074;Pesquisa perfil das instituições de segurança pública 2013 (ano-base 2012) ;1;8;40.7;12/09/2011;4;portugues
1075;Guia de pneumologia ;10;8;355.78;23/01/2018;1;portugues
1076;Ernani Sátyro ;49;8;404.96;29/09/2000;3;portugues
1077;Fitorremediaçào;21;8;54.66;10/09/2005;1;portugues
1078;Sociedade civil e educaçào;50;8;478.3;16/10/2007;1;portugues
1079;Handbook of neurotoxicology ;1;8;295.2;26/01/2003;3;portugues
1080;Deposiçào de filmes de ZrO2 modificados sobre substratos metálicos;57;8;232.41;26/08/2000;3;portugues
1081;Escritas e leituras na educaçào matemática ;28;8;272.6;10/05/2009;5;portugues
1082;Banana;10;8;460.82;23/02/2018;3;portugues
1083;A grande Guerra;39;8;1.34;15/01/2010;2;portugues
1084;Destinée et valeur;14;8;501.17;09/07/2013;3;portugues
1085;Codorna:;53;8;4.59;21/05/2001;3;portugues
1086;From Kant to Davidson;8;8;423.48;19/06/2004;2;portugues
1087;A festa ao ar livre ;33;8;81.46;05/11/2009;5;portugues
1088;Empresas transnacionais e direitos humanos;7;8;385.9;22/05/2010;1;portugues
1089;Influência da adiçào de cálcio nas propriedades de pastas geopoliméricas destinadas a cimentaçào de poços de petríleo;50;8;166.03;06/05/2007;1;portugues
1090;Compêndio de micologia médica ;41;8;260.65;03/03/2002;5;portugues
1091;Essays in the metaphysics of modality ;60;8;180.43;26/07/2012;4;portugues
1092;Fatores crâticos de sucesso como antecedentes da aceitaçào de um sistema de informaçào em uma universidade federal;7;8;292.37;07/01/2008;1;portugues
1093;Trevo de quatro folhas ;9;8;34.23;31/12/1999;4;portugues
1094;Formaçào continuada, interdisciplinaridade e inclusào social ;64;8;513.92;27/09/2011;5;portugues
1095;Manual do técnico agrâcola ;30;8;155.99;28/04/2013;3;portugues
1096;O trânsito em tuas màos ;68;8;460.64;15/07/2005;5;portugues
1097;Educaçào profissional e tecnolígica;10;8;42.65;15/02/2018;5;portugues
1098;Beyond analytic philosophy;47;8;153.44;13/08/2007;1;portugues
1099;Suma teolígica ;44;8;388.05;11/09/2000;3;portugues
1100;Atividade anticoagulante, antioxidante e antitumoral de heterofucanas da alga Dictyopteris delicatula(Lamouroux, 1809);62;8;266.32;17/03/2017;5;portugues
1101;Fundamental concepts of algebra ;17;8;228.83;30/11/2008;2;portugues
1102;Ciência dos materiais ;68;8;346.86;05/05/2007;1;portugues
1103;Tax justice;24;8;269.6;21/10/2006;4;portugues
1104;A ciência e o homem no pensamento de Farias Brito e Rubem Alves;14;8;19.87;09/05/2006;1;portugues
1105;Per augusto & machina ;68;8;27.93;31/01/2009;3;portugues
1106;Nutriçào e doença;39;8;185.18;21/07/2014;1;portugues
1107;Capacitar ;48;8;12.73;30/03/2015;5;portugues
1108;Valuation;62;8;266.91;25/05/2017;5;portugues
1109;Nutriçào e obesidade ;74;8;213.69;13/02/2017;2;portugues
1110;Histíria das religiões;63;8;294.1;20/05/2013;4;portugues
1111;Ambientes e dinâmicas de cooperaçào para inovaçào ;63;8;9.8;03/07/2008;4;portugues
1112;Gestào do conhecimento nas organizações ;54;8;298.08;11/03/2005;5;portugues
1113;Inovaçào e sustentabilidade ;17;8;244.04;16/09/2005;1;portugues
1114;Qualidade;14;8;394.55;06/02/2014;5;portugues
1115;Fontes de fomento à  inovaçào ;9;8;343.98;26/07/2000;5;portugues
1116;Conducting with feeling ;19;8;391.93;27/03/2018;5;portugues
1117;Controle robusto aplicado a conversor buck-boost em sistemas fotovoltaicos;31;8;173.07;04/06/2010;2;portugues
1118;O Brasil no Conselho de Segurança da ONU(2010-2011);58;8;109.53;02/01/2005;1;portugues
1119;Histíria da lígica ;66;8;195.37;30/06/2014;1;portugues
1120;O condenado ;31;8;13.36;05/04/2002;2;portugues
1121;Polâtica social e democracia ;63;8;176.21;18/09/2015;5;portugues
1122;Desempenho dos serviços de atençào primária do municâpio de NatalRN para o diagnístico e controle da tuberculose;42;8;192.65;09/08/2015;4;portugues
1123;Irrigaçào por corrugaçào ;16;8;424.87;12/02/2010;5;portugues
1124;Recomendações técnicas para o cultivo da cevada cervejeira ;64;8;376.73;21/07/2017;1;portugues
1125;Tessitura;47;8;345.65;01/10/2010;1;portugues
1126;12Âº Encontro Nacional de Recreaçào e Lazer;31;8;330.19;24/10/2000;5;portugues
1127;O método geométrico em Descartes e Spinoza ;27;8;140.56;15/08/2013;3;portugues
1128;Light fantastic;1;8;186.91;25/05/2004;4;portugues
1129;Curso de estética;27;8;304.34;02/05/2002;3;portugues
1130;Tecido de leituras sobre linguagem, identidade e cultura;26;8;500.64;23/01/2004;1;portugues
1131;Psicologia da educaçào virtual;50;8;191.75;10/04/2003;5;portugues
1132;The life of the seashore ;39;8;305.67;11/04/2011;2;portugues
1133;Sistemática vegetal;71;8;44.61;05/03/2008;3;portugues
1134;Formation, removal, and inhibition of inorganic scale in the oilfield environment ;7;8;404.75;13/11/2006;5;portugues
1135;Laboratírio de IPv6;15;8;277.02;10/06/2017;4;portugues
1136;A pintura encarnada seguido de A obra-prima desconhecida de Honoré de Balzac;48;8;470.6;18/07/2007;2;portugues
1137;Trabalho e seguridade social;38;8;403.96;02/02/2012;3;portugues
1138;Direito constitucional descomplicado ;13;8;272.85;14/11/2016;5;portugues
1139;Classificaçào automática de modulaçào digital com uso de correntropia para ambientes de rádio cognitivo;32;8;145.42;19/06/2016;4;portugues
1140;Crâtica ;43;8;272.06;15/02/2002;5;portugues
1141;Anais do 9. Simpísio Brasileiro de Recursos Hâdricos;39;8;55.64;22/05/2000;3;portugues
1142;Eu hei-de amar uma pedra ;59;8;160.41;28/04/2015;1;portugues
1143;Os antigos cronistas e os rios Upanema Apodi e Mossorí ;35;8;171.87;09/03/2014;2;portugues
1144;Os desejos da Bela Adormecida ;34;8;286.02;09/05/2011;2;portugues
1145;Compromisso com o futuro;33;8;106.37;25/03/2005;5;portugues
1146;Introduçào à  construçào de algoritmos;54;8;342.38;10/01/2016;4;portugues
1147;The world until yesterday;30;8;348.44;21/08/2015;5;portugues
1148;A ascensào do romance;50;8;438.36;08/11/2014;3;portugues
1149;Jean Piaget ;73;8;167.47;15/12/2005;3;portugues
1150;Lila;9;8;138.54;10/11/2018;2;portugues
1151;Steam;1;8;220.32;13/11/2016;2;portugues
1152;Objectivity ;71;8;510.73;13/06/2017;3;portugues
1153;Cartilha do meio ambiente. -;66;9;78.95;07/10/2016;1;portugues
1154;Theoretical astrophysics ;12;9;243.67;04/12/2001;1;portugues
1155;Concurrent product and process engineering;43;9;371.82;21/06/2002;1;portugues
1156;A filosofia na alcova, ou, Os preceptores imorais ;18;9;363.53;24/12/2003;5;portugues
1157;Diagonalization and self-reference ;55;9;114.27;21/10/2001;5;portugues
1158;Gestào do conhecimento;34;9;407.12;07/04/2008;3;portugues
1159;Consilience;38;9;118.15;25/02/2007;2;portugues
1160;Arquivos do mundo dos trabalhadores ;12;9;283.97;26/05/2013;4;portugues
1161;As filhas do falecido Coronel ;10;9;120.43;13/12/2003;2;portugues
1162;Experimental embryology of marine and fresh-water invertebrates ;59;9;141.13;07/03/2000;1;portugues
1163;Juâzes legisladores? ;42;9;247.07;01/05/2005;1;portugues
1164;Raúl Prebisch (1901-1986);40;9;132.72;10/11/2005;4;portugues
1165;O capitào saiu para o almoço e os marinheiros tomaram conta do navio ;17;9;80.42;08/12/2016;1;portugues
1166;Fenômenos geolígicos ;68;9;224.08;11/11/2010;5;portugues
1167;Guia de desenvolvimento territorial ;59;9;279.78;19/12/2012;5;portugues
1168;Recursos hâdricos da bacia hidrográfica do Rio Potengi relevantes ao ecoturismo no municâpio de Cerro Corá-RN;56;9;481.67;14/04/2011;2;portugues
1169;Win-win ecology;64;9;345.09;17/09/2004;4;portugues
1170;Um cordel para Luiz Gonzaga, o menestrel do sertào ;31;9;461.54;05/02/2015;2;portugues
1171;O espiào que caiu no galinheiro ;3;9;85.93;23/09/2004;2;portugues
1172;Psicologia da saúde;66;9;393.56;27/04/2016;2;portugues
1173;Nhac-nhac!;43;9;357.6;11/03/2005;3;portugues
1174;Analysis and design of analog integrated circuits ;38;9;471.54;10/02/2018;3;portugues
1175;Apuntes sobre el pensamiento. -;19;9;426.92;25/11/2011;2;portugues
1176;Reportagens que ninguém escreveu;55;9;287.32;29/11/2007;2;portugues
1177;Carnaúba ;29;9;132.47;23/07/2016;5;portugues
1178;Music data mining ;63;9;365.86;20/02/2000;5;portugues
1179;Identificaçào humana;9;9;62.46;04/11/2013;5;portugues
1180;iPhone game development ;1;9;93.8;07/06/2002;4;portugues
1181;Anais ;24;9;127.08;07/10/2013;4;portugues
1182;Balâstica forense;18;9;178.39;09/07/2018;1;portugues
1183;Felicidade e o estranho ;19;9;32.06;07/03/2008;4;portugues
1184;Raça;33;9;180.56;19/03/2011;5;portugues
1185;La métaphysique de l'étre dans le philosophie de Maurice Blondel ;48;9;168.22;28/12/2005;3;portugues
1186;O terror renegado;4;9;515.54;07/04/2003;1;portugues
1187;Arte como questào;13;9;237.49;05/12/2003;3;portugues
1188;Sistema brasileiro de classificaçao de terras para irrigaçao;33;9;256.79;11/08/2015;2;portugues
1189;Diversidade cultural brasileira;27;9;333.33;13/12/2015;5;portugues
1190;Abordagem de construçào de arquitetura homogênea para comitês via meta-aprendizagem;56;9;110.9;12/03/2003;3;portugues
1191;Efeito de diferentes populações de percevejos sobre o rendimento e seus componentes, caracterâsticas agronômicas e qualidade de semente de soja ;70;9;139.69;10/02/2009;4;portugues
1192;Automotive fuels reference book ;20;9;6.39;03/06/2013;2;portugues
1193;As pessoas na organizaçào e o (re)alinhamento estratégico;9;9;217.14;16/01/2005;2;portugues
1194;Arteterapia & educaçào inclusiva;55;9;264.76;12/02/2012;2;portugues
1195;Bergson;13;9;45.31;27/12/2000;3;portugues
1196;Farmacologia ilustrada ;29;9;323.14;13/12/2000;5;portugues
1197;Estatâstica;31;9;253.57;04/08/2014;4;portugues
1198;RE descobriram o Ceará?;47;9;76.41;16/07/2002;5;portugues
1199;A concise introduction to pure mathematics ;52;9;479.83;28/10/2008;5;portugues
1200;Para ouvir uma cançào ;57;9;97.97;16/03/2006;4;portugues
1201;Os frutos da terra;62;9;444.78;28/10/2003;2;portugues
1202;A estrada ;42;9;343.04;14/04/2007;1;portugues
1203;Estudo numérico de escoamento turbulento em padrào anular gás-lâquido em dutos verticais;37;9;153.06;01/04/2000;1;portugues
1204;Imagens do medo na mâdia;10;9;320.77;08/09/2005;4;portugues
1205;Poty;74;9;55.23;05/03/2008;3;portugues
1206;Fundamentos pedagígicos para o Programa Segundo Tempo;58;9;225.88;11/03/2003;5;portugues
1207;Matemática para economistas ;47;9;342.85;06/09/2010;1;portugues
1208;As estruturas sociais e econômicas do Império Romano do Ocidente e o estabelecimento do reino dos Visigodos nas Galliae Aquitania e Narbonensis;43;9;173.51;15/08/2000;4;portugues
1209;Mào e contramào;9;9;83.64;25/11/2009;5;portugues
1210;Cálculo diferencial e integral, II volume ;72;9;102.99;17/01/2017;5;portugues
1211;Modernismo;10;9;5.53;30/05/2006;2;portugues
1212;Principles of computerized tomographic imaging ;20;9;301.46;22/09/2016;5;portugues
1213;Toxicologia do mercúrio ;57;9;191.92;05/06/2008;4;portugues
1214;Além da escravidào:;40;9;408.74;01/11/2012;2;portugues
1215;Histíria do novo mundo ;13;9;91.8;04/10/2011;2;portugues
1216;Ensinar a ensinar;43;9;457.08;17/04/2006;4;portugues
1217;Psychology;26;9;390.73;09/05/2005;2;portugues
1218;Heidi;27;9;461.75;08/09/2011;2;portugues
1219;Endodontia;72;9;96.54;19/06/2018;3;portugues
1220;Linguagens de programaçào;51;9;381.8;04/07/2006;1;portugues
1221;O Modelo de atençào obstétrica no setor de saúde suplementar no Brasil;21;9;133.76;21/04/2010;3;portugues
1222;Avaliaçào da aprendizagem escolar ;4;9;421.68;31/07/2001;1;portugues
1223;Dutos enterrados;62;9;417.69;06/08/2008;2;portugues
1224;Current surgical therapy ;61;9;122.23;29/03/2005;5;portugues
1225;Quinta de Sào Romualdo ;19;9;306.68;30/09/2014;2;portugues
1226;A Performance como outro lugar da escrita;68;9;312.69;11/05/2013;4;portugues
1227;Filosofia e teoria constitucional contemporânea ;26;9;408.56;20/08/2001;1;portugues
1228;Conceitos de genética ;11;9;109.02;28/03/2007;3;portugues
1229;Critica de la concepcion de Maritain sobre la persona humana ;24;9;148.45;03/09/2009;3;portugues
1230;La unidad de la experiencia filosofica ;27;9;49.41;11/02/2011;4;portugues
1231;Formal logic;41;9;250.52;29/04/2004;2;portugues
1232;Direitos humanos e o direito constitucional internacional ;45;9;442.46;14/12/2009;4;portugues
1233;Exercâcio fâsico, saúde e qualidade de vida em pessoas com o HIVAIDS em NatalRio Grande do Norte;40;9;163.47;06/07/2000;5;portugues
1234;A grande navegaçào de Fernào de Magalhàes ;39;9;508.06;23/11/2012;4;portugues
1235;Os quatro-? ;18;9;132.59;30/10/2007;1;portugues
1236;Autismo;71;9;174.8;21/01/2003;1;portugues
1237;Fantastic ornament;19;9;431.01;05/08/2011;3;portugues
1238;Federalismo e desenvolvimento;72;9;295.65;03/12/2000;1;portugues
1239;Origem fâsica nas curvas sigmoidais respiratírias prssào-volume;18;9;64.28;13/05/2001;2;portugues
1240;Sobrevivendo a grande depressào dos anos 90 ;31;9;177.72;30/08/2009;2;portugues
1241;Ocorrência de barita no Grupo Apodi, RN ;39;9;218.9;06/07/2008;3;portugues
1242;Catolicismo e casamento civil em Goiás,;49;9;483.75;21/01/2006;3;portugues
1243;Criaçào de abelhas indâgenas sem ferrào ;64;9;278.61;15/06/2016;1;portugues
1244;Direito e soberania alimentar;55;9;328.56;23/12/2000;5;portugues
1245;Sistema de informaçào de custos na administraçào pública federal;17;9;342.35;26/07/2006;2;portugues
1246;Tacite ;26;9;504.93;16/05/2003;1;portugues
1247;Manual de direito da propriedade intelectual ;26;9;142.54;05/10/2012;4;portugues
1248;O papel das feiras-livres no abastecimento da cidade de Sào Paulo ;71;9;207.03;02/02/2016;3;portugues
1249;La Dialectica metodo de la filosofia;18;9;298.34;16/09/2015;1;portugues
1250;Que bicho será que fez a coisa? ;3;9;445.47;16/05/2015;2;portugues
1251;Sartre, philosophe de la contestation ;13;9;436.71;10/12/2005;5;portugues
1252;Design do objeto;26;9;46.67;11/12/2010;5;portugues
1253;A goleada de Darwin;62;9;357.44;02/08/2000;4;portugues
1254;Administraçào pública;62;9;488.83;24/12/2014;1;portugues
1255;Tudo o que você precisa saber para passar em concursos jurâdicos ;28;9;144.81;14/09/2013;3;portugues
1256;Por que deveria haver algum motivo? ;59;9;214.0;22/01/2006;1;portugues
1257;Ernest Psichari;48;9;431.66;18/09/2014;3;portugues
1258;Ministério da Ciência e Tecnologia;25;9;455.07;14/08/2011;2;portugues
1259;O tao das finanças;18;9;196.61;08/09/2015;4;portugues
1260;Ejercicio fâsico acuático en la mejoria de la calidad de vida de la mujer menopáusica;1;9;474.87;28/02/2008;1;portugues
1261;A mào e a luva ;50;9;79.66;25/09/2004;2;portugues
1262;Nietzsche vivant ;5;9;275.04;02/01/2010;4;portugues
1263;Diagnosis and risk prediction of periodontal diseases ;24;9;177.29;23/04/2004;5;portugues
1264;Agricultura familiar e estratégias de reproduçào socioeconômica das famâlias rurais de Sào Miguel-RN;55;9;126.58;15/06/2018;2;portugues
1265;123 respostas sobre drogas ;61;9;510.26;25/05/2010;2;portugues
1266;Dinâmica;5;9;244.66;20/08/2015;3;portugues
1267;Estado e cidadania;50;9;28.3;16/01/2014;1;portugues
1268;Instituições prevalecentes, tradiçào e persistência no extrativismo da cera de carnaúba em Limoeiro do Norte-CE;57;9;271.21;02/01/2013;5;portugues
1269;A trajetíria de um sonho ;71;9;426.93;05/11/2013;5;portugues
1270;Etude gravimetrique de la bordure occidentale du craton ouest-africain;36;9;427.05;19/11/2005;5;portugues
1271;Marley & eu;52;9;313.19;01/11/2000;5;portugues
1272;Terapia intravenosa ;62;9;172.43;20/06/2015;5;portugues
1273;Memíria brilhante;71;9;41.84;27/08/2008;3;portugues
1274;Formaçào e vivências;46;9;383.07;19/10/2002;1;portugues
1275;Aprendizagem, linguagem e pensamento ;40;9;328.64;24/03/2008;5;portugues
1276;Advocacia de Estado;61;9;211.19;15/01/2008;4;portugues
1277;Dudu, amigo do mar ;33;9;147.03;07/09/2016;4;portugues
1278;Sete cavalos na Berlinda ;21;9;110.45;14/06/2014;3;portugues
1279;Tesoura nào é cenoura ;69;9;23.82;28/02/2010;1;portugues
1280;A relva azul ;30;9;262.24;12/04/2012;2;portugues
1281;Vida e obra de Pirajá da Silva ;4;9;309.34;05/02/2003;2;portugues
1282;Insetos sociais;24;9;266.27;11/05/2007;3;portugues
1283;Polâticas públicas de leitura;47;9;360.73;04/12/2007;4;portugues
1284;Armazém do folclore ;19;9;439.37;23/06/2009;5;portugues
1285;O renascimento do parto ;13;9;39.53;20/07/2002;1;portugues
1286;A confissào de Lúcio;56;9;287.53;25/12/2008;5;portugues
1287;Da proteçào à  precarizaçào - um estudo do fenômeno jurâdico trabalhista no contexto das transformações do capitalismo;10;9;442.85;12/06/2002;4;portugues
1288;Manifesto do partido comunista ;17;9;414.27;25/05/2012;2;portugues
1289;Direito tributário ;39;9;347.67;20/10/2003;5;portugues
